Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,4205.19,наличный,Брест,Белинвестбанк-OFUO-716,08-03-2020,12:25:16,недостаточно средств,да,275.43
физ. лицо,списание средств,948.02,наличный,Гродно,МаксБанк-ZSDZ-530,10-02-2002,06:23:39,недостаточно средств,да,11.66
физ. лицо,списание средств,1228.77,наличный,Гомель,Приорбанк-FGNY-243,27-07-2000,12:28:20,успешно,да,20.41
физ. лицо,списание средств,2165.09,безналичный,Могилев,Белинвестбанк-NCWQ-575,26-05-2006,13:09:12,неправильный ввод пин-кода,да,213.65
юр. лицо,списание средств,1901.61,наличный,Минск,МаксБанк-RWKV-968,22-01-2013,00:58:23,успешно,да,19.88
физ. лицо,списание средств,729.7,наличный,Могилев,БелАгропромбанк-ATHU-784,09-09-2017,13:40:45,неправильный ввод пин-кода,да,35.96
физ. лицо,списание средств,1631.61,безналичный,Брест,Беларусбанк-AKEI-635,20-01-2014,19:40:51,недостаточно средств,да,109.04
физ. лицо,списание средств,3317.46,безналичный,Гомель,Приорбанк-KOJR-283,26-05-2016,04:56:36,неправильный ввод пин-кода,да,226.19
физ. лицо,списание средств,911.08,наличный,Брест,БелАгропромбанк-OLDO-616,01-06-2022,21:53:34,недостаточно средств,да,85.11
юр. лицо,списание средств,4189.75,безналичный,Могилев,БелАгропромбанк-NJJD-482,25-05-2016,22:26:41,неправильный ввод пин-кода,да,163.15
физ. лицо,списание средств,1652.54,наличный,Витебск,Белинвестбанк-LDNE-138,20-01-2010,18:04:47,недостаточно средств,да,164.2
юр. лицо,списание средств,93.87,наличный,Гродно,Приорбанк-PGEW-447,22-01-2016,00:41:02,недостаточно средств,да,1.63
юр. лицо,списание средств,1335.58,наличный,Могилев,БелАгропромбанк-HWPP-457,14-01-2004,04:00:54,успешно,да,60.98
юр. лицо,списание средств,4563.42,безналичный,Брест,Приорбанк-OOOV-909,02-07-2010,03:57:37,успешно,да,391.43
юр. лицо,списание средств,4275.82,наличный,Витебск,Белинвестбанк-BBHU-781,16-08-2014,07:08:31,успешно,да,327.22
физ. лицо,списание средств,3188.82,безналичный,Витебск,МаксБанк-BMSD-558,03-12-2013,18:03:11,неправильный ввод пин-кода,да,60.56
юр. лицо,списание средств,4882.46,наличный,Гродно,Приорбанк-NKIG-572,23-07-2019,03:05:34,недостаточно средств,да,237.52
физ. лицо,списание средств,3450.84,безналичный,Витебск,МаксБанк-AGBH-618,20-02-2003,08:52:29,недостаточно средств,да,287.55
юр. лицо,списание средств,653.32,безналичный,Брест,МаксБанк-QWOS-080,10-01-2021,20:51:27,успешно,да,53.76
физ. лицо,списание средств,1391.84,безналичный,Могилев,Белинвестбанк-JZHL-122,21-10-2013,21:14:05,недостаточно средств,да,64.63
физ. лицо,списание средств,4303.61,наличный,Гродно,МаксБанк-YXRI-515,27-09-2018,23:41:28,недостаточно средств,да,82.1
физ. лицо,списание средств,4779.32,безналичный,Брест,Приорбанк-TJTU-722,08-01-2006,07:56:45,успешно,да,447.45
физ. лицо,списание средств,3159.72,безналичный,Могилев,Приорбанк-DYUX-615,01-10-2003,12:08:14,успешно,да,227.76
юр. лицо,списание средств,1930.36,наличный,Гомель,Приорбанк-DXRW-889,30-12-2007,06:13:41,успешно,да,49.68
юр. лицо,списание средств,765.97,наличный,Брест,БелАгропромбанк-DOUN-031,11-01-2023,10:13:25,недостаточно средств,да,23.53
юр. лицо,списание средств,4620.74,наличный,Минск,МаксБанк-UYUP-842,25-08-2022,11:11:18,успешно,да,445.74
юр. лицо,списание средств,4594.69,безналичный,Могилев,Беларусбанк-DHIR-646,25-08-2012,05:11:07,успешно,да,191.3
юр. лицо,списание средств,2395.42,безналичный,Брест,МаксБанк-EJCS-262,21-06-2007,06:25:48,неправильный ввод пин-кода,да,118.19
физ. лицо,списание средств,4952.31,безналичный,Витебск,Белинвестбанк-NEZD-503,12-09-2006,23:18:52,неправильный ввод пин-кода,да,189.72
физ. лицо,списание средств,4802.62,наличный,Минск,МаксБанк-EQYU-047,16-04-2012,03:50:29,неправильный ввод пин-кода,да,342.56
юр. лицо,списание средств,1494.87,безналичный,Брест,БелАгропромбанк-YDRG-925,22-12-2001,05:02:46,неправильный ввод пин-кода,да,141.51
юр. лицо,списание средств,1317.19,наличный,Могилев,Белинвестбанк-NFOU-800,11-03-2002,08:30:54,успешно,да,22.63
юр. лицо,списание средств,1059.64,безналичный,Брест,Беларусбанк-IBKQ-373,17-03-2022,03:51:34,недостаточно средств,да,67.24
юр. лицо,списание средств,795.94,наличный,Брест,Беларусбанк-GBFN-023,28-05-2005,19:44:09,успешно,да,65.09
физ. лицо,списание средств,3441.6,наличный,Витебск,Белинвестбанк-MFSZ-884,26-08-2016,05:21:16,недостаточно средств,да,286.63
юр. лицо,списание средств,3220.36,безналичный,Гомель,БелАгропромбанк-DPHU-396,15-03-2011,08:59:17,недостаточно средств,да,79.52
юр. лицо,списание средств,933.83,безналичный,Брест,Беларусбанк-ZNUF-815,21-12-2000,21:58:16,недостаточно средств,да,20.26
юр. лицо,списание средств,559.4,безналичный,Витебск,Беларусбанк-RRQN-039,14-10-2016,03:17:54,неправильный ввод пин-кода,да,37.49
